Database|Substrate|Substrate SMILES|Product|Product SMILES|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes
DrugBank|Vitamin A|C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C|All-trans-retinal|C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O|CYP1A1|CYP1A2|CYP3A4|CYP1B1||||||||||||||||||||||
DrugBank|Amphetamine|CC(N)CC1=CC=CC=C1|4-hydroxyamphetamine|CC(N)CC1=CC=C(O)C=C1|CYP2D6|||||||||||||||||||||||||
DrugBank|Nicotine|CN1CCC[C@H]1C1=CN=CC=C1|Nicotine imine|CN1CCCC1C1=CC=C[N+]([O-])=C1|CYP2A6|CYP2B6||||||||||||||||||||||||
DrugBank|Nicotine|CN1CCC[C@H]1C1=CN=CC=C1|Nicotine glucuronide|CN1CCC[C@H]1C1=CC=C[N+](=C1)[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C([O-])=O|UGT1-4|UGT1-9||||||||||||||||||||||||
DrugBank|Nicotine|CN1CCC[C@H]1C1=CN=CC=C1|Nicotine-1'-N-oxide|C[N+]1([O-])CCCC1C1=CC=CN=C1|Dimethylaniline monooxygenase [N-oxide-forming] 3|||||||||||||||||||||||||
DrugBank|Nicotine imine|CN1CCCC1C1=CC=C[N+]([O-])=C1|Cotinine|CN1[C@@H](CCC1=O)C1=CC=CN=C1|Aldehyde oxidase|||||||||||||||||||||||||
DrugBank|Cotinine|CN1[C@@H](CCC1=O)C1=CC=CN=C1|Nicotine-1'-N-oxide|C[N+]1([O-])CCCC1C1=CC=CN=C1|Dimethylaniline monooxygenase [N-oxide-forming] 3|||||||||||||||||||||||||
DrugBank|Nicotine|CN1CCC[C@H]1C1=CN=CC=C1|2'-Hydroxynicotine|CN1CCCC1(O)C1=CC=CN=C1|CYP2A6|||||||||||||||||||||||||
DrugBank|Tramadol|COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C|O-Desmethyltramadol|CN(C)CC1CCCCC1(O)C1=CC=CC(O)=C1|CYP2D6|||||||||||||||||||||||||
DrugBank|Caffeine|CN1C=NC2=C1C(=O)N(C)C(=O)N2C|Theobromine|CN1C=NC2=C1C(=O)NC(=O)N2C|CYP1A2|CYP2E1||||||||||||||||||||||||
DrugBank|Caffeine|CN1C=NC2=C1C(=O)N(C)C(=O)N2C|Theophylline|CN1C2=C(NC=N2)C(=O)N(C)C1=O|CYP1A2|CYP2E1|CYP2C8|CYP2C9|CYP3A4|||||||||||||||||||||
DrugBank|Caffeine|CN1C=NC2=C1C(=O)N(C)C(=O)N2C|1,3,7-Trimethyluric acid|CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C|CYP2C8|CYP2C9|CYP3A4|CYP1A2|CYP2E1|||||||||||||||||||||
DrugBank|Caffeine|CN1C=NC2=C1C(=O)N(C)C(=O)N2C|Paraxanthine|CN1C=NC2=C1C(=O)N(C)C(=O)N2|CYP1A2|||||||||||||||||||||||||
DrugBank|Paraxanthine|CN1C=NC2=C1C(=O)N(C)C(=O)N2|1,7-Dimethyluric acid|CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2|CYP1A2|CYP2A6||||||||||||||||||||||||
DrugBank|Theophylline|CN1C2=C(NC=N2)C(=O)N(C)C1=O|1-Methylxanthine|CN1C(=O)NC2=C(NC=N2)C1=O|CYP1A2|||||||||||||||||||||||||
DrugBank|1-Methylxanthine|CN1C(=O)NC2=C(NC=N2)C1=O|1-Methyluric acid|CN1C(=O)NC2=C(NC(=O)N2)C1=O|Xanthine dehydrogenase/oxidase|||||||||||||||||||||||||
DrugBank|Paraxanthine|CN1C=NC2=C1C(=O)N(C)C(=O)N2|5-Acetylamino-6-formylamino-3-methyluracil|CN1C(=O)NC(NC=O)=C(NC(C)=O)C1=O|Arylamine N-acetyltransferase 2|||||||||||||||||||||||||
DrugBank|Citalopram|CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1|Citalopram N-oxide|CN(C)(=O)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1|CYP2D6|||||||||||||||||||||||||
DrugBank|Enflurane|FC(F)OC(F)(F)C(F)Cl|2-(difluoromethoxy)-2,2-difluoroacetyl fluoride|FC(F)OC(F)(F)C(F)=O|CYP2E1|||||||||||||||||||||||||
DrugBank|Temazepam|CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1|Oxazepam|OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O|CYP3A4|CYP2C19||||||||||||||||||||||||
DrugBank|Phenytoin|O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1|Hydroxyphenytoin|OC1=CC=C(C=C1)C1(NC(=O)NC1=O)C1=CC=CC=C1|CYP2C9|CYP2C19||||||||||||||||||||||||
DrugBank|Theophylline|CN1C2=C(NC=N2)C(=O)N(C)C1=O|3-methylxanthine|CN1C2=C(NC=N2)C(=O)NC1=O|CYP1A2|||||||||||||||||||||||||
DrugBank|Theophylline|CN1C2=C(NC=N2)C(=O)N(C)C1=O|1,3-dimethyluric acid|CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O|CYP2E1|||||||||||||||||||||||||
DrugBank|Lidocaine|CCN(CC)CC(=O)NC1=C(C)C=CC=C1C|3-hydroxylidocaine|CCN(CC)CC(O)=NC1=C(C)C=CC(O)=C1C|CYP1A2|CYP3A4|CYP3A7|||||||||||||||||||||||
DrugBank|Lidocaine|CCN(CC)CC(=O)NC1=C(C)C=CC=C1C|monoethylglycinexylidide|CCNCC(=O)NC1=C(C)C=CC=C1C|CYP1A2|CYP3A4|CYP3A7|||||||||||||||||||||||
DrugBank|Morphine|[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|morphine-6-glucuronide|CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3C=C[C@@H]4O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC=C5O|UGT2B7|UGT1-1|UGT1-8|UGT2B15|UGT2B4|UGT1-3||||||||||||||||||||
